"GO.ID" "Term" "Annotated" "Significant" "Expected" "weightFisher"
"1201" "GO:0001558" "regulation of cell growth" 28 1 2.11 "1.00000"
"1202" "GO:0016246" "RNA interference" 31 1 2.34 "1.00000"
"1203" "GO:1901615" "organic hydroxy compound metabolic proce..." 105 5 7.92 "1.00000"
"1204" "GO:1901616" "organic hydroxy compound catabolic proce..." 17 1 1.28 "1.00000"
"1205" "GO:1901617" "organic hydroxy compound biosynthetic pr..." 63 4 4.75 "1.00000"
"1206" "GO:0051128" "regulation of cellular component organiz..." 149 3 11.24 "1.00000"
"1207" "GO:0051129" "negative regulation of cellular componen..." 28 2 2.11 "1.00000"
"1208" "GO:0046128" "purine ribonucleoside metabolic process" 11 1 0.83 "1.00000"
"1209" "GO:0046129" "purine ribonucleoside biosynthetic proce..." 5 1 0.38 "1.00000"
"1210" "GO:0019219" "regulation of nucleobase-containing comp..." 726 42 54.76 "1.00000"
"1211" "GO:0006109" "regulation of carbohydrate metabolic pro..." 28 2 2.11 "1.00000"
"1212" "GO:1901642" "nucleoside transmembrane transport" 8 1 0.6 "1.00000"
"1213" "GO:0000070" "mitotic sister chromatid segregation" 17 1 1.28 "1.00000"
"1214" "GO:0046112" "nucleobase biosynthetic process" 13 1 0.98 "1.00000"
"1215" "GO:0071840" "cellular component organization or bioge..." 1074 44 81.01 "1.00000"
"1216" "GO:0045488" "pectin metabolic process" 68 4 5.13 "1.00000"
"1217" "GO:0000075" "cell cycle checkpoint" 17 1 1.28 "1.00000"
"1218" "GO:0050896" "response to stimulus" 1694 109 127.78 "1.00000"
"1219" "GO:0050898" "nitrile metabolic process" 3 1 0.23 "1.00000"
"1220" "GO:0009100" "glycoprotein metabolic process" 47 1 3.55 "1.00000"
"1221" "GO:0006066" "alcohol metabolic process" 47 2 3.55 "1.00000"
"1222" "GO:0032392" "DNA geometric change" 27 1 2.04 "1.00000"
"1223" "GO:0009101" "glycoprotein biosynthetic process" 45 1 3.39 "1.00000"
"1224" "GO:0046148" "pigment biosynthetic process" 48 3 3.62 "1.00000"
"1225" "GO:2000060" "positive regulation of ubiquitin-depende..." 9 1 0.68 "1.00000"
"1226" "GO:0009108" "coenzyme biosynthetic process" 71 5 5.36 "1.00000"
"1227" "GO:0060548" "negative regulation of cell death" 14 1 1.06 "1.00000"
"1228" "GO:0042440" "pigment metabolic process" 68 3 5.13 "1.00000"
"1229" "GO:0072507" "divalent inorganic cation homeostasis" 18 1 1.36 "1.00000"
"1230" "GO:0043094" "cellular metabolic compound salvage" 32 3 2.41 "1.00000"
"1231" "GO:0043096" "purine nucleobase salvage" 2 1 0.15 "1.00000"
"1232" "GO:0042445" "hormone metabolic process" 95 6 7.17 "1.00000"
"1233" "GO:0042446" "hormone biosynthetic process" 60 3 4.53 "1.00000"
"1234" "GO:0000018" "regulation of DNA recombination" 11 1 0.83 "1.00000"
"1235" "GO:0000019" "regulation of mitotic recombination" 1 1 0.08 "1.00000"
"1236" "GO:0042430" "indole-containing compound metabolic pro..." 18 1 1.36 "1.00000"
"1237" "GO:0006081" "cellular aldehyde metabolic process" 25 3 1.89 "1.00000"
"1238" "GO:0009064" "glutamine family amino acid metabolic pr..." 21 1 1.58 "1.00000"
"1239" "GO:0006082" "organic acid metabolic process" 320 18 24.14 "1.00000"
"1240" "GO:0033692" "cellular polysaccharide biosynthetic pro..." 75 9 5.66 "1.00000"
"1241" "GO:2000058" "regulation of ubiquitin-dependent protei..." 9 1 0.68 "1.00000"
"1242" "GO:0042435" "indole-containing compound biosynthetic ..." 14 1 1.06 "1.00000"
"1243" "GO:0071396" "cellular response to lipid" 173 12 13.05 "1.00000"
"1244" "GO:0009066" "aspartate family amino acid metabolic pr..." 13 1 0.98 "1.00000"
"1245" "GO:0000041" "transition metal ion transport" 39 2 2.94 "1.00000"
"1246" "GO:0043101" "purine-containing compound salvage" 4 1 0.3 "1.00000"
"1247" "GO:0009067" "aspartate family amino acid biosynthetic..." 9 1 0.68 "1.00000"
"1248" "GO:0043102" "amino acid salvage" 2 1 0.15 "1.00000"
"1249" "GO:0090701" "specification of plant organ identity" 9 1 0.68 "1.00000"
"1250" "GO:0051090" "regulation of DNA-binding transcription ..." 7 2 0.53 "1.00000"
"1251" "GO:0000280" "nuclear division" 72 3 5.43 "1.00000"
"1252" "GO:0051093" "negative regulation of developmental pro..." 66 5 4.98 "1.00000"
"1253" "GO:0000281" "mitotic cytokinesis" 36 4 2.72 "1.00000"
"1254" "GO:0051094" "positive regulation of developmental pro..." 53 2 4 "1.00000"
"1255" "GO:0030422" "production of siRNA involved in RNA inte..." 26 1 1.96 "1.00000"
"1256" "GO:1901600" "strigolactone metabolic process" 3 1 0.23 "1.00000"
"1257" "GO:0006071" "glycerol metabolic process" 12 1 0.91 "1.00000"
"1258" "GO:0006072" "glycerol-3-phosphate metabolic process" 3 1 0.23 "1.00000"
"1259" "GO:0006073" "cellular glucan metabolic process" 88 8 6.64 "1.00000"
"1260" "GO:0009056" "catabolic process" 503 25 37.94 "1.00000"
"1261" "GO:1901605" "alpha-amino acid metabolic process" 74 3 5.58 "1.00000"
"1262" "GO:0009057" "macromolecule catabolic process" 276 13 20.82 "1.00000"
"1263" "GO:0009058" "biosynthetic process" 1408 84 106.2 "1.00000"
"1264" "GO:1901607" "alpha-amino acid biosynthetic process" 41 3 3.09 "1.00000"
"1265" "GO:0009292" "genetic transfer" 16 1 1.21 "1.00000"
"1266" "GO:0009059" "macromolecule biosynthetic process" 965 57 72.79 "1.00000"
"1267" "GO:1903960" "negative regulation of anion transmembra..." 2 1 0.15 "1.00000"
"1268" "GO:0000271" "polysaccharide biosynthetic process" 96 9 7.24 "1.00000"
"1269" "GO:0000038" "very long-chain fatty acid metabolic pro..." 7 1 0.53 "1.00000"
"1270" "GO:0000272" "polysaccharide catabolic process" 53 3 4 "1.00000"
"1271" "GO:0009084" "glutamine family amino acid biosynthetic..." 9 1 0.68 "1.00000"
"1272" "GO:0000278" "mitotic cell cycle" 91 6 6.86 "1.00000"
"1273" "GO:0043067" "regulation of programmed cell death" 22 1 1.66 "1.00000"
"1274" "GO:0009086" "methionine biosynthetic process" 5 1 0.38 "1.00000"
"1275" "GO:0010769" "regulation of cell morphogenesis involve..." 5 1 0.38 "1.00000"
"1276" "GO:0043069" "negative regulation of programmed cell d..." 9 1 0.68 "1.00000"
"1277" "GO:0006261" "DNA-dependent DNA replication" 48 2 3.62 "1.00000"
"1278" "GO:0042401" "cellular biogenic amine biosynthetic pro..." 8 2 0.6 "1.00000"
"1279" "GO:0009072" "aromatic amino acid family metabolic pro..." 25 1 1.89 "1.00000"
"1280" "GO:0000226" "microtubule cytoskeleton organization" 52 1 3.92 "1.00000"
"1281" "GO:0009073" "aromatic amino acid family biosynthetic ..." 18 1 1.36 "1.00000"
"1282" "GO:2000026" "regulation of multicellular organismal d..." 243 15 18.33 "1.00000"
"1283" "GO:1903959" "regulation of anion transmembrane transp..." 12 1 0.91 "1.00000"
"1284" "GO:0071365" "cellular response to auxin stimulus" 88 6 6.64 "1.00000"
"1285" "GO:0048869" "cellular developmental process" 354 24 26.7 "1.00000"
"1286" "GO:0071367" "cellular response to brassinosteroid sti..." 38 3 2.87 "1.00000"
"1287" "GO:0071368" "cellular response to cytokinin stimulus" 32 2 2.41 "1.00000"
"1288" "GO:0071369" "cellular response to ethylene stimulus" 62 3 4.68 "1.00000"
"1289" "GO:0044764" "multi-organism cellular process" 16 1 1.21 "1.00000"
"1290" "GO:0006259" "DNA metabolic process" 231 7 17.42 "1.00000"
"1291" "GO:0048856" "anatomical structure development" 1160 72 87.5 "1.00000"
"1292" "GO:0050879" "multicellular organismal movement" 3 1 0.23 "1.00000"
"1293" "GO:0009260" "ribonucleotide biosynthetic process" 54 4 4.07 "1.00000"
"1294" "GO:0000003" "reproduction" 654 45 49.33 "1.00000"
"1295" "GO:0040029" "regulation of gene expression, epigeneti..." 92 4 6.94 "1.00000"
"1296" "GO:0006281" "DNA repair" 122 2 9.2 "1.00000"
"1297" "GO:0051051" "negative regulation of transport" 5 1 0.38 "1.00000"
"1298" "GO:0051052" "regulation of DNA metabolic process" 53 2 4 "1.00000"
"1299" "GO:0009267" "cellular response to starvation" 58 5 4.37 "1.00000"
"1300" "GO:0098660" "inorganic ion transmembrane transport" 110 7 8.3 "1.00000"
"1301" "GO:0051054" "positive regulation of DNA metabolic pro..." 11 1 0.83 "1.00000"
"1302" "GO:0098661" "inorganic anion transmembrane transport" 8 2 0.6 "1.00000"
"1303" "GO:0098662" "inorganic cation transmembrane transport" 104 5 7.84 "1.00000"
"1304" "GO:1905039" "carboxylic acid transmembrane transport" 41 5 3.09 "1.00000"
"1305" "GO:0072665" "protein localization to vacuole" 22 1 1.66 "1.00000"
"1306" "GO:0072666" "establishment of protein localization to..." 22 1 1.66 "1.00000"
"1307" "GO:0071383" "cellular response to steroid hormone sti..." 37 3 2.79 "1.00000"
"1308" "GO:2000280" "regulation of root development" 36 1 2.72 "1.00000"
"1309" "GO:0009250" "glucan biosynthetic process" 49 5 3.7 "1.00000"
"1310" "GO:0051084" "'de novo' posttranslational protein fold..." 4 1 0.3 "1.00000"
"1311" "GO:0006275" "regulation of DNA replication" 19 1 1.43 "1.00000"
"1312" "GO:0044784" "metaphase/anaphase transition of cell cy..." 9 1 0.68 "1.00000"
"1313" "GO:0009259" "ribonucleotide metabolic process" 65 4 4.9 "1.00000"
"1314" "GO:0071370" "cellular response to gibberellin stimulu..." 37 5 2.79 "1.00000"
"1315" "GO:0046083" "adenine metabolic process" 3 1 0.23 "1.00000"
"1316" "GO:0044786" "cell cycle DNA replication" 29 2 2.19 "1.00000"
"1317" "GO:0046084" "adenine biosynthetic process" 3 1 0.23 "1.00000"
"1318" "GO:2000034" "regulation of seed maturation" 11 1 0.83 "1.00000"
"1319" "GO:0098655" "cation transmembrane transport" 118 6 8.9 "1.00000"
"1320" "GO:0072657" "protein localization to membrane" 29 1 2.19 "1.00000"
"1321" "GO:0098656" "anion transmembrane transport" 77 8 5.81 "1.00000"
"1322" "GO:0061982" "meiosis I cell cycle process" 36 1 2.72 "1.00000"
"1323" "GO:0098657" "import into cell" 35 1 2.64 "1.00000"
"1324" "GO:0003002" "regionalization" 85 6 6.41 "1.00000"
"1325" "GO:0061983" "meiosis II cell cycle process" 8 1 0.6 "1.00000"
"1326" "GO:2000038" "regulation of stomatal complex developme..." 5 1 0.38 "1.00000"
"1327" "GO:0048878" "chemical homeostasis" 123 11 9.28 "1.00000"
"1328" "GO:0010962" "regulation of glucan biosynthetic proces..." 11 1 0.83 "1.00000"
"1329" "GO:0003006" "developmental process involved in reprod..." 559 40 42.16 "1.00000"
"1330" "GO:0010965" "regulation of mitotic sister chromatid s..." 9 1 0.68 "1.00000"
"1331" "GO:0044770" "cell cycle phase transition" 23 1 1.73 "1.00000"
"1332" "GO:0044772" "mitotic cell cycle phase transition" 20 1 1.51 "1.00000"
"1333" "GO:0043269" "regulation of ion transport" 29 1 2.19 "1.00000"
"1334" "GO:0071322" "cellular response to carbohydrate stimul..." 32 2 2.41 "1.00000"
"1335" "GO:0071324" "cellular response to disaccharide stimul..." 5 1 0.38 "1.00000"
"1336" "GO:0048827" "phyllome development" 219 13 16.52 "1.00000"
"1337" "GO:0016999" "antibiotic metabolic process" 86 5 6.49 "1.00000"
"1338" "GO:0043255" "regulation of carbohydrate biosynthetic ..." 17 1 1.28 "1.00000"
"1339" "GO:0071310" "cellular response to organic substance" 390 24 29.42 "1.00000"
"1340" "GO:0043043" "peptide biosynthetic process" 63 3 4.75 "1.00000"
"1341" "GO:0043044" "ATP-dependent chromatin remodeling" 15 1 1.13 "1.00000"
"1342" "GO:0044728" "DNA methylation or demethylation" 42 2 3.17 "1.00000"
"1343" "GO:0019750" "chloroplast localization" 12 2 0.91 "1.00000"
"1344" "GO:0019751" "polyol metabolic process" 31 1 2.34 "1.00000"
"1345" "GO:0034050" "host programmed cell death induced by sy..." 37 2 2.79 "1.00000"
"1346" "GO:0019752" "carboxylic acid metabolic process" 294 13 22.18 "1.00000"
"1347" "GO:0071554" "cell wall organization or biogenesis" 249 18 18.78 "1.00000"
"1348" "GO:0019755" "one-carbon compound transport" 1 1 0.08 "1.00000"
"1349" "GO:0043288" "apocarotenoid metabolic process" 13 1 0.98 "1.00000"
"1350" "GO:0019757" "glycosinolate metabolic process" 20 3 1.51 "1.00000"
"1351" "GO:0043289" "apocarotenoid biosynthetic process" 12 1 0.91 "1.00000"
"1352" "GO:0019758" "glycosinolate biosynthetic process" 4 1 0.3 "1.00000"
"1353" "GO:0019759" "glycosinolate catabolic process" 4 1 0.3 "1.00000"
"1354" "GO:0034293" "sexual sporulation" 17 3 1.28 "1.00000"
"1355" "GO:0051252" "regulation of RNA metabolic process" 686 40 51.74 "1.00000"
"1356" "GO:0051253" "negative regulation of RNA metabolic pro..." 116 6 8.75 "1.00000"
"1357" "GO:0051254" "positive regulation of RNA metabolic pro..." 160 6 12.07 "1.00000"
"1358" "GO:2000241" "regulation of reproductive process" 138 11 10.41 "1.00000"
"1359" "GO:2000242" "negative regulation of reproductive proc..." 28 3 2.11 "1.00000"
"1360" "GO:0043271" "negative regulation of ion transport" 4 1 0.3 "1.00000"
"1361" "GO:2000243" "positive regulation of reproductive proc..." 29 2 2.19 "1.00000"
"1362" "GO:0042168" "heme metabolic process" 6 1 0.45 "1.00000"
"1363" "GO:0070085" "glycosylation" 58 1 4.37 "1.00000"
"1364" "GO:0034086" "maintenance of sister chromatid cohesion" 3 1 0.23 "1.00000"
"1365" "GO:1901135" "carbohydrate derivative metabolic proces..." 195 12 14.71 "1.00000"
"1366" "GO:1901136" "carbohydrate derivative catabolic proces..." 10 1 0.75 "1.00000"
"1367" "GO:1901137" "carbohydrate derivative biosynthetic pro..." 135 7 10.18 "1.00000"
"1368" "GO:0051049" "regulation of transport" 59 1 4.45 "1.00000"
"1369" "GO:0040007" "growth" 225 7 16.97 "1.00000"
"1370" "GO:0010927" "cellular component assembly involved in ..." 22 3 1.66 "1.00000"
"1371" "GO:0008380" "RNA splicing" 83 1 6.26 "1.00000"
"1372" "GO:0046031" "ADP metabolic process" 11 2 0.83 "1.00000"
"1373" "GO:0046033" "AMP metabolic process" 5 1 0.38 "1.00000"
"1374" "GO:0042180" "cellular ketone metabolic process" 57 1 4.3 "1.00000"
"1375" "GO:0046034" "ATP metabolic process" 24 3 1.81 "1.00000"
"1376" "GO:0042181" "ketone biosynthetic process" 10 1 0.75 "1.00000"
"1377" "GO:0045165" "cell fate commitment" 34 4 2.56 "1.00000"
"1378" "GO:0051273" "beta-glucan metabolic process" 39 4 2.94 "1.00000"
"1379" "GO:0051274" "beta-glucan biosynthetic process" 39 4 2.94 "1.00000"
"1380" "GO:0051276" "chromosome organization" 243 7 18.33 "1.00000"
"1381" "GO:0022898" "regulation of transmembrane transporter ..." 8 1 0.6 "1.00000"
"1382" "GO:0019725" "cellular homeostasis" 70 4 5.28 "1.00000"
"1383" "GO:0010941" "regulation of cell death" 30 1 2.26 "1.00000"
"1384" "GO:0042176" "regulation of protein catabolic process" 14 1 1.06 "1.00000"
"1385" "GO:0071514" "genetic imprinting" 7 2 0.53 "1.00000"
"1386" "GO:0010948" "negative regulation of cell cycle proces..." 19 2 1.43 "1.00000"
"1387" "GO:0030162" "regulation of proteolysis" 13 1 0.98 "1.00000"
"1388" "GO:0030163" "protein catabolic process" 177 10 13.35 "1.00000"
"1389" "GO:0045185" "maintenance of protein location" 6 2 0.45 "1.00000"
"1390" "GO:0042126" "nitrate metabolic process" 5 1 0.38 "1.00000"
"1391" "GO:0097305" "response to alcohol" 211 10 15.92 "1.00000"
"1392" "GO:0097306" "cellular response to alcohol" 108 4 8.15 "1.00000"
"1393" "GO:0046219" "indolalkylamine biosynthetic process" 5 1 0.38 "1.00000"
"1394" "GO:0044703" "multi-organism reproductive process" 58 6 4.37 "1.00000"
"1395" "GO:0019748" "secondary metabolic process" 91 5 6.86 "1.00000"
"1396" "GO:0044706" "multi-multicellular organism process" 89 3 6.71 "1.00000"
"1397" "GO:0051240" "positive regulation of multicellular org..." 49 2 3.7 "1.00000"
"1398" "GO:0051241" "negative regulation of multicellular org..." 59 5 4.45 "1.00000"
"1399" "GO:0034284" "response to monosaccharide" 28 1 2.11 "1.00000"
"1400" "GO:0034285" "response to disaccharide" 30 3 2.26 "1.00000"
"1401" "GO:0051246" "regulation of protein metabolic process" 105 5 7.92 "1.00000"
"1402" "GO:0051247" "positive regulation of protein metabolic..." 37 1 2.79 "1.00000"
"1403" "GO:0009201" "ribonucleoside triphosphate biosynthetic..." 25 3 1.89 "1.00000"
"1404" "GO:0051248" "negative regulation of protein metabolic..." 37 2 2.79 "1.00000"
"1405" "GO:0046246" "terpene biosynthetic process" 3 1 0.23 "1.00000"
"1406" "GO:0009205" "purine ribonucleoside triphosphate metab..." 27 3 2.04 "1.00000"
"1407" "GO:0009206" "purine ribonucleoside triphosphate biosy..." 22 3 1.66 "1.00000"
"1408" "GO:0051234" "establishment of localization" 692 39 52.2 "1.00000"
"1409" "GO:0051235" "maintenance of location" 15 2 1.13 "1.00000"
"1410" "GO:0006790" "sulfur compound metabolic process" 98 6 7.39 "1.00000"
"1411" "GO:0051239" "regulation of multicellular organismal p..." 258 16 19.46 "1.00000"
"1412" "GO:0006793" "phosphorus metabolic process" 566 44 42.69 "1.00000"
"1413" "GO:1901292" "nucleoside phosphate catabolic process" 15 2 1.13 "1.00000"
"1414" "GO:0032501" "multicellular organismal process" 1116 69 84.18 "1.00000"
"1415" "GO:1901293" "nucleoside phosphate biosynthetic proces..." 75 5 5.66 "1.00000"
"1416" "GO:0032502" "developmental process" 1192 72 89.91 "1.00000"
"1417" "GO:0006796" "phosphate-containing compound metabolic ..." 550 43 41.49 "1.00000"
"1418" "GO:0034220" "ion transmembrane transport" 186 12 14.03 "1.00000"
"1419" "GO:0006797" "polyphosphate metabolic process" 1 1 0.08 "1.00000"
"1420" "GO:0032504" "multicellular organism reproduction" 78 5 5.88 "1.00000"
"1421" "GO:0032507" "maintenance of protein location in cell" 6 2 0.45 "1.00000"
"1422" "GO:0071495" "cellular response to endogenous stimulus" 363 24 27.38 "1.00000"
"1423" "GO:0048598" "embryonic morphogenesis" 16 2 1.21 "1.00000"
"1424" "GO:0071496" "cellular response to external stimulus" 75 5 5.66 "1.00000"
"1425" "GO:0043207" "response to external biotic stimulus" 340 24 25.65 "1.00000"
"1426" "GO:0045144" "meiotic sister chromatid segregation" 7 1 0.53 "1.00000"
"1427" "GO:0009790" "embryo development" 157 10 11.84 "1.00000"
"1428" "GO:0009791" "post-embryonic development" 631 42 47.6 "1.00000"
"1429" "GO:0034219" "carbohydrate transmembrane transport" 15 2 1.13 "1.00000"
"1430" "GO:1903825" "organic acid transmembrane transport" 41 5 3.09 "1.00000"
"1431" "GO:0031399" "regulation of protein modification proce..." 61 1 4.6 "1.00000"
"1432" "GO:0009798" "axis specification" 30 3 2.26 "1.00000"
"1433" "GO:0019941" "modification-dependent protein catabolic..." 142 9 10.71 "1.00000"
"1434" "GO:0045132" "meiotic chromosome segregation" 29 1 2.19 "1.00000"
"1435" "GO:0034248" "regulation of cellular amide metabolic p..." 30 3 2.26 "1.00000"
"1436" "GO:0034249" "negative regulation of cellular amide me..." 8 1 0.6 "1.00000"
"1437" "GO:1901264" "carbohydrate derivative transport" 29 2 2.19 "1.00000"
"1438" "GO:0006766" "vitamin metabolic process" 36 2 2.72 "1.00000"
"1439" "GO:0006767" "water-soluble vitamin metabolic process" 31 2 2.34 "1.00000"
"1440" "GO:0019932" "second-messenger-mediated signaling" 10 1 0.75 "1.00000"
"1441" "GO:0000725" "recombinational repair" 33 1 2.49 "1.00000"
"1442" "GO:0090351" "seedling development" 85 3 6.41 "1.00000"
"1443" "GO:0006753" "nucleoside phosphate metabolic process" 103 7 7.77 "1.00000"
"1444" "GO:0048316" "seed development" 218 12 16.44 "1.00000"
"1445" "GO:0006754" "ATP biosynthetic process" 20 3 1.51 "1.00000"
"1446" "GO:0006757" "ATP generation from ADP" 11 2 0.83 "1.00000"
"1447" "GO:0071453" "cellular response to oxygen levels" 65 5 4.9 "1.00000"
"1448" "GO:0006996" "organelle organization" 581 20 43.82 "1.00000"
"1449" "GO:0006997" "nucleus organization" 23 2 1.73 "1.00000"
"1450" "GO:0002252" "immune effector process" 31 1 2.34 "1.00000"
"1451" "GO:0002253" "activation of immune response" 17 2 1.28 "1.00000"
"1452" "GO:0042060" "wound healing" 11 1 0.83 "1.00000"
"1453" "GO:0035690" "cellular response to drug" 41 2 3.09 "1.00000"
"1454" "GO:0071695" "anatomical structure maturation" 65 5 4.9 "1.00000"
"1455" "GO:0006783" "heme biosynthetic process" 6 1 0.45 "1.00000"
"1456" "GO:0000741" "karyogamy" 13 2 0.98 "1.00000"
"1457" "GO:0048580" "regulation of post-embryonic development" 177 13 13.35 "1.00000"
"1458" "GO:0009767" "photosynthetic electron transport chain" 24 1 1.81 "1.00000"
"1459" "GO:0048581" "negative regulation of post-embryonic de..." 47 5 3.55 "1.00000"
"1460" "GO:0048582" "positive regulation of post-embryonic de..." 37 2 2.79 "1.00000"
"1461" "GO:0048583" "regulation of response to stimulus" 290 20 21.87 "1.00000"
"1462" "GO:0048584" "positive regulation of response to stimu..." 100 7 7.54 "1.00000"
"1463" "GO:0071482" "cellular response to light stimulus" 69 4 5.2 "1.00000"
"1464" "GO:0048585" "negative regulation of response to stimu..." 94 11 7.09 "1.00000"
"1465" "GO:0071483" "cellular response to blue light" 16 1 1.21 "1.00000"
"1466" "GO:0048586" "regulation of long-day photoperiodism, f..." 12 2 0.91 "1.00000"
"1467" "GO:0010876" "lipid localization" 39 4 2.94 "1.00000"
"1468" "GO:0048588" "developmental cell growth" 53 1 4 "1.00000"
"1469" "GO:0048589" "developmental growth" 156 5 11.77 "1.00000"
"1470" "GO:0071489" "cellular response to red or far red ligh..." 40 3 3.02 "1.00000"
"1471" "GO:0006771" "riboflavin metabolic process" 6 1 0.45 "1.00000"
"1472" "GO:0009755" "hormone-mediated signaling pathway" 328 23 24.74 "1.00000"
"1473" "GO:0009756" "carbohydrate mediated signaling" 25 1 1.89 "1.00000"
"1474" "GO:0048571" "long-day photoperiodism" 21 3 1.58 "1.00000"
"1475" "GO:0009991" "response to extracellular stimulus" 91 6 6.86 "1.00000"
"1476" "GO:0048572" "short-day photoperiodism" 9 1 0.68 "1.00000"
"1477" "GO:0071470" "cellular response to osmotic stress" 19 1 1.43 "1.00000"
"1478" "GO:0006778" "porphyrin-containing compound metabolic ..." 41 3 3.09 "1.00000"
"1479" "GO:0006779" "porphyrin-containing compound biosynthet..." 26 2 1.96 "1.00000"
"1480" "GO:0048575" "short-day photoperiodism, flowering" 9 1 0.68 "1.00000"
"1481" "GO:0090322" "regulation of superoxide metabolic proce..." 2 1 0.15 "1.00000"
"1482" "GO:0032410" "negative regulation of transporter activ..." 2 1 0.15 "1.00000"
"1483" "GO:0032412" "regulation of ion transmembrane transpor..." 8 1 0.6 "1.00000"
"1484" "GO:0071478" "cellular response to radiation" 74 4 5.58 "1.00000"
"1485" "GO:0032413" "negative regulation of ion transmembrane..." 2 1 0.15 "1.00000"
"1486" "GO:0006720" "isoprenoid metabolic process" 48 8 3.62 "1.00000"
"1487" "GO:0090329" "regulation of DNA-dependent DNA replicat..." 13 1 0.98 "1.00000"
"1488" "GO:0006721" "terpenoid metabolic process" 38 5 2.87 "1.00000"
"1489" "GO:0009787" "regulation of abscisic acid-activated si..." 47 2 3.55 "1.00000"
"1490" "GO:0006725" "cellular aromatic compound metabolic pro..." 1374 64 103.64 "1.00000"
"1491" "GO:0090567" "reproductive shoot system development" 246 20 18.56 "1.00000"
"1492" "GO:0048522" "positive regulation of cellular process" 328 12 24.74 "1.00000"
"1493" "GO:0048523" "negative regulation of cellular process" 287 13 21.65 "1.00000"
"1494" "GO:0048527" "lateral root development" 52 1 3.92 "1.00000"
"1495" "GO:0010817" "regulation of hormone levels" 142 9 10.71 "1.00000"
"1496" "GO:0048528" "post-embryonic root development" 58 1 4.37 "1.00000"
"1497" "GO:0006968" "cellular defense response" 2 1 0.15 "1.00000"
"1498" "GO:1905957" "regulation of cellular response to alcoh..." 47 2 3.55 "1.00000"
"1499" "GO:0032446" "protein modification by small protein co..." 268 9 20.21 "1.00000"
"1500" "GO:1905958" "negative regulation of cellular response..." 20 1 1.51 "1.00000"
"1501" "GO:0006714" "sesquiterpenoid metabolic process" 16 2 1.21 "1.00000"
"1502" "GO:1905959" "positive regulation of cellular response..." 17 1 1.28 "1.00000"
"1503" "GO:0006950" "response to stress" 1051 58 79.28 "1.00000"
"1504" "GO:0071669" "plant-type cell wall organization or bio..." 113 12 8.52 "1.00000"
"1505" "GO:1901000" "regulation of response to salt stress" 17 1 1.28 "1.00000"
"1506" "GO:0031323" "regulation of cellular metabolic process" 898 48 67.74 "1.00000"
"1507" "GO:0000910" "cytokinesis" 39 4 2.94 "1.00000"
"1508" "GO:0006955" "immune response" 151 8 11.39 "1.00000"
"1509" "GO:0031324" "negative regulation of cellular metaboli..." 182 8 13.73 "1.00000"
"1510" "GO:0048518" "positive regulation of biological proces..." 425 20 32.06 "1.00000"
"1511" "GO:0031325" "positive regulation of cellular metaboli..." 227 8 17.12 "1.00000"
"1512" "GO:0048519" "negative regulation of biological proces..." 456 26 34.4 "1.00000"
"1513" "GO:0071417" "cellular response to organonitrogen comp..." 6 1 0.45 "1.00000"
"1514" "GO:0031326" "regulation of cellular biosynthetic proc..." 745 44 56.19 "1.00000"
"1515" "GO:0031327" "negative regulation of cellular biosynth..." 138 6 10.41 "1.00000"
"1516" "GO:0031328" "positive regulation of cellular biosynth..." 171 6 12.9 "1.00000"
"1517" "GO:0032434" "regulation of proteasomal ubiquitin-depe..." 8 1 0.6 "1.00000"
"1518" "GO:0009723" "response to ethylene" 99 3 7.47 "1.00000"
"1519" "GO:0031329" "regulation of cellular catabolic process" 26 2 1.96 "1.00000"
"1520" "GO:0015766" "disaccharide transport" 5 1 0.38 "1.00000"
"1521" "GO:0009725" "response to hormone" 559 32 42.16 "1.00000"
"1522" "GO:0002218" "activation of innate immune response" 17 2 1.28 "1.00000"
"1523" "GO:1903362" "regulation of cellular protein catabolic..." 10 1 0.75 "1.00000"
"1524" "GO:0018193" "peptidyl-amino acid modification" 156 6 11.77 "1.00000"
"1525" "GO:0045088" "regulation of innate immune response" 45 3 3.39 "1.00000"
"1526" "GO:0009962" "regulation of flavonoid biosynthetic pro..." 8 1 0.6 "1.00000"
"1527" "GO:0045089" "positive regulation of innate immune res..." 24 2 1.81 "1.00000"
"1528" "GO:0097659" "nucleic acid-templated transcription" 709 42 53.48 "1.00000"
"1529" "GO:1903364" "positive regulation of cellular protein ..." 10 1 0.75 "1.00000"
"1530" "GO:0048545" "response to steroid hormone" 37 3 2.79 "1.00000"
"1531" "GO:0090332" "stomatal closure" 20 1 1.51 "1.00000"
"1532" "GO:0009966" "regulation of signal transduction" 122 4 9.2 "1.00000"
"1533" "GO:0009967" "positive regulation of signal transducti..." 35 2 2.64 "1.00000"
"1534" "GO:0009968" "negative regulation of signal transducti..." 44 2 3.32 "1.00000"
"1535" "GO:0006732" "coenzyme metabolic process" 90 6 6.79 "1.00000"
"1536" "GO:0006733" "oxidoreduction coenzyme metabolic proces..." 29 5 2.19 "1.00000"
"1537" "GO:0009719" "response to endogenous stimulus" 564 33 42.54 "1.00000"
"1538" "GO:0048532" "anatomical structure arrangement" 34 4 2.56 "1.00000"
"1539" "GO:0015994" "chlorophyll metabolic process" 37 3 2.79 "1.00000"
"1540" "GO:1900371" "regulation of purine nucleotide biosynth..." 2 1 0.15 "1.00000"
