HOG	OG	Gene Tree Parent Clade	lycopersicum	pepper
N0.HOG0010407	OG0008262	-	Solyc01g102490.3.1	PHT62220.1
N0.HOG0010408	OG0008263	-	Solyc01g102510.4.1	PHT62218.1
N0.HOG0010409	OG0008264	-	Solyc01g102520.4.1	PHT62217.1
N0.HOG0010410	OG0008265	-	Solyc01g102530.3.1	PHT62216.1
N0.HOG0010411	OG0008266	-	Solyc01g102540.3.1	PHT62215.1
N0.HOG0010412	OG0008267	-	Solyc01g102550.4.1	PHT62214.1
N0.HOG0010413	OG0008268	-	Solyc01g102590.3.1, Solyc01g102560.2.1	
N0.HOG0010414	OG0008269	-	Solyc01g102610.3.1	PHT62211.1
N0.HOG0010415	OG0008270	-	Solyc01g102660.4.1	PHT62209.1
N0.HOG0010416	OG0008271	-	Solyc01g102680.4.1	PHT62207.1
N0.HOG0010417	OG0008272	-	Solyc01g102690.4.1	PHT62206.1
N0.HOG0010418	OG0008273	-	Solyc01g102720.3.1	PHT62201.1
N0.HOG0010419	OG0008274	-	Solyc01g102730.3.1	PHT62200.1
N0.HOG0010420	OG0008275	-	Solyc01g102740.3.1	PHT62199.1
N0.HOG0010421	OG0008276	-	Solyc01g102770.1.1	PHT74660.1
N0.HOG0010422	OG0008277	-	Solyc01g102790.3.1	PHT62196.1
N0.HOG0010423	OG0008278	-	Solyc01g102810.3.1	PHT62194.1
N0.HOG0010424	OG0008279	-	Solyc01g102820.4.1	PHT62193.1
N0.HOG0010425	OG0008280	-	Solyc01g102830.3.1	PHT62192.1
N0.HOG0010426	OG0008281	-	Solyc01g102880.3.1	PHT62253.1
N0.HOG0010427	OG0008282	-	Solyc01g102940.3.1	PHT63691.1
N0.HOG0010428	OG0008283	-	Solyc01g102970.3.1	PHT63688.1
N0.HOG0010429	OG0008284	-	Solyc01g102980.3.1	PHT63687.1
N0.HOG0010430	OG0008285	-	Solyc01g102990.3.1	PHT63686.1
N0.HOG0010431	OG0008286	-	Solyc01g103010.4.1	PHT63685.1
N0.HOG0010432	OG0008287	-	Solyc01g103020.4.1	PHT63684.1
N0.HOG0010433	OG0008288	-	Solyc01g103040.4.1	PHT63682.1
N0.HOG0010434	OG0008289	-	Solyc01g103060.4.1	PHT63679.1
N0.HOG0010435	OG0008290	-	Solyc01g103080.3.1	PHT63678.1
N0.HOG0010436	OG0008291	-	Solyc01g103090.4.1	PHT63677.1
N0.HOG0010437	OG0008292	-	Solyc01g103100.3.1	PHT63676.1
N0.HOG0010438	OG0008293	-	Solyc01g103110.3.1	PHT63675.1
N0.HOG0010439	OG0008294	-	Solyc01g103150.3.1	PHT63670.1
N0.HOG0010440	OG0008295	-	Solyc01g103160.3.1	PHT63669.1
N0.HOG0010441	OG0008296	-	Solyc01g103190.3.1	PHT63666.1
N0.HOG0010442	OG0008297	-	Solyc01g103200.4.1	PHT63665.1
N0.HOG0010443	OG0008298	-	Solyc01g103220.3.1	PHT63664.1
N0.HOG0010444	OG0008299	-	Solyc01g103350.3.1	PHT63653.1
N0.HOG0010445	OG0008300	-	Solyc01g103360.4.1	PHT63652.1
N0.HOG0010446	OG0008301	-	Solyc01g103370.3.1	PHT63651.1
N0.HOG0010447	OG0008302	-	Solyc01g103400.4.1, Solyc11g028080.2.1	
N0.HOG0010448	OG0008303	-	Solyc01g103410.3.1	PHT63646.1
N0.HOG0010449	OG0008304	-	Solyc01g103420.4.1	PHT63645.1
N0.HOG0010450	OG0008305	-	Solyc01g103430.4.1	PHT63644.1
N0.HOG0010451	OG0008306	-	Solyc01g103440.3.1	PHT63643.1
N0.HOG0010452	OG0008307	-	Solyc01g103530.3.1	PHT63636.1
N0.HOG0010453	OG0008308	-	Solyc01g103540.3.1	PHT63635.1
N0.HOG0010454	OG0008309	-	Solyc01g103550.1.1	PHT63634.1
N0.HOG0010455	OG0008310	-	Solyc01g103560.3.1	PHT63633.1
N0.HOG0010456	OG0008311	-	Solyc01g103570.3.1	PHT63632.1
N0.HOG0010457	OG0008312	-	Solyc01g103595.1.1	PHT61097.1
N0.HOG0010458	OG0008313	-	Solyc01g103640.4.1	PHT63762.1
N0.HOG0010459	OG0008314	-	Solyc01g103690.4.1	PHT63754.1
N0.HOG0010460	OG0008315	-	Solyc01g103700.3.1	PHT63753.1
N0.HOG0010461	OG0008316	-	Solyc01g103710.4.1	PHT63752.1
N0.HOG0010462	OG0008317	-	Solyc01g103720.4.1	PHT63751.1
N0.HOG0010463	OG0008318	-	Solyc01g103780.4.1	PHT63744.1
N0.HOG0010464	OG0008319	-	Solyc01g103800.3.1	PHT63742.1
N0.HOG0010465	OG0008320	-	Solyc01g103890.3.1	PHT63732.1
N0.HOG0010466	OG0008321	-	Solyc01g103950.4.1	PHT63723.1
N0.HOG0010467	OG0008322	-	Solyc01g103960.3.1	PHT63721.1
N0.HOG0010468	OG0008323	-	Solyc01g103990.3.1	PHT63720.1
N0.HOG0010469	OG0008324	-	Solyc01g104000.3.1	PHT63718.1
N0.HOG0010470	OG0008325	-	Solyc01g104040.4.1	PHT63712.1
N0.HOG0010471	OG0008326	-	Solyc01g104070.3.1	PHT63707.1
N0.HOG0010472	OG0008327	-	Solyc01g104080.4.1	PHT63706.1
N0.HOG0010473	OG0008328	-	Solyc01g104090.4.1	PHT63705.1
N0.HOG0010474	OG0008329	-	Solyc01g104130.4.1	PHT61906.1
N0.HOG0010475	OG0008330	-	Solyc01g104140.3.1	PHT61905.1
N0.HOG0010476	OG0008331	-	Solyc01g104160.4.1	PHT61904.1
N0.HOG0010477	OG0008332	-	Solyc01g104180.2.1	PHT61902.1
N0.HOG0010478	OG0008333	-	Solyc01g104190.2.1	PHT61898.1
N0.HOG0010479	OG0008334	-	Solyc01g104220.3.1	PHT61896.1
N0.HOG0010480	OG0008335	-	Solyc01g104230.4.1	PHT61895.1
N0.HOG0010481	OG0008336	-	Solyc01g104250.4.1	PHT61893.1
N0.HOG0010482	OG0008337	-	Solyc01g104290.3.1	PHT61890.1
N0.HOG0010483	OG0008338	-	Solyc01g104300.3.1	PHT61889.1
N0.HOG0010484	OG0008339	-	Solyc01g104310.3.1	PHT61888.1
N0.HOG0010485	OG0008340	-	Solyc01g104340.2.1	PHT61885.1
N0.HOG0010486	OG0008341	-	Solyc01g104350.3.1	PHT61884.1
N0.HOG0010487	OG0008342	-	Solyc01g104400.3.1	PHT88077.1
N0.HOG0010488	OG0008343	-	Solyc01g104410.4.1	PHT62304.1
N0.HOG0010489	OG0008344	-	Solyc09g064755.1.1, Solyc01g104443.1.1	
N0.HOG0010490	OG0008345	-	Solyc01g104460.4.1	PHT62298.1
N0.HOG0010491	OG0008346	-	Solyc01g104470.3.1	PHT62297.1
N0.HOG0010492	OG0008347	-	Solyc01g104480.4.1, Solyc01g104540.3.1	
N0.HOG0010493	OG0008348	-	Solyc01g104490.3.1	PHT62294.1
N0.HOG0010494	OG0008349	-	Solyc01g104500.2.1	PHT62293.1
N0.HOG0010495	OG0008350	-	Solyc01g104530.3.1	PHT62290.1
N0.HOG0010496	OG0008351	-	Solyc01g104550.3.1	PHT62289.1
N0.HOG0010497	OG0008352	-	Solyc01g104560.3.1	PHT62288.1
N0.HOG0010498	OG0008353	-	Solyc01g104580.3.1	PHT62286.1
N0.HOG0010499	OG0008354	-	Solyc01g104600.4.1	PHT62283.1
N0.HOG0010500	OG0008355	-	Solyc01g104630.3.1	PHT61599.1
N0.HOG0010501	OG0008356	-	Solyc01g104640.3.1	PHT61600.1
N0.HOG0010502	OG0008357	-	Solyc01g104660.3.1	PHT61601.1
N0.HOG0010503	OG0008358	-	Solyc01g104740.3.1	PHT81036.1
N0.HOG0010504	OG0008359	-	Solyc01g104750.4.1	PHT61605.1
N0.HOG0010505	OG0008360	-	Solyc01g104760.2.1	PHT61606.1
N0.HOG0010506	OG0008361	-	Solyc01g104780.3.1	PHT66693.1
N0.HOG0010507	OG0008362	-	Solyc01g104790.4.1	PHT64192.1
N0.HOG0010508	OG0008363	-	Solyc01g104820.4.1	PHT64190.1
N0.HOG0010509	OG0008364	-	Solyc01g104830.2.1	PHT64189.1
N0.HOG0010510	OG0008365	-	Solyc01g104880.3.1	PHT64185.1
N0.HOG0010511	OG0008366	-	Solyc01g104900.3.1	PHT64184.1
N0.HOG0010512	OG0008367	-	Solyc01g104910.3.1	PHT64183.1
N0.HOG0010513	OG0008368	-	Solyc01g104980.4.1	PHT64180.1
N0.HOG0010514	OG0008369	-	Solyc01g104990.4.1	PHT64179.1
N0.HOG0010515	OG0008370	-	Solyc01g105000.3.1	PHT64178.1
N0.HOG0010516	OG0008371	-	Solyc01g105020.3.1	PHT64176.1
N0.HOG0010517	OG0008372	-	Solyc01g105040.3.1	PHT64174.1
N0.HOG0010518	OG0008373	-	Solyc01g105060.3.1	PHT64171.1
N0.HOG0010519	OG0008374	-	Solyc01g105080.2.1	PHT64168.1
N0.HOG0010520	OG0008375	-	Solyc01g105090.3.1	PHT64167.1
N0.HOG0010521	OG0008376	-	Solyc01g105110.1.1	PHT64165.1
N0.HOG0010522	OG0008377	-	Solyc01g105130.4.1	PHT64162.1
N0.HOG0010523	OG0008378	-	Solyc01g105220.3.1	PHT64156.1
N0.HOG0010524	OG0008379	-	Solyc01g105230.4.1	PHT64155.1
N0.HOG0010525	OG0008380	-	Solyc01g105270.4.1	PHT64152.1
N0.HOG0010526	OG0008381	-	Solyc01g105290.3.1	PHT64150.1
N0.HOG0010527	OG0008382	-	Solyc01g105330.3.1	PHT64143.1
N0.HOG0010528	OG0008383	-	Solyc01g105340.4.1	PHT64142.1
N0.HOG0010529	OG0008384	-	Solyc01g105370.4.1	PHT64141.1
N0.HOG0010530	OG0008385	-	Solyc01g105410.4.1	PHT64140.1
N0.HOG0010531	OG0008386	-	Solyc01g105460.4.1	PHT64133.1
N0.HOG0010532	OG0008387	-	Solyc01g105500.4.1	PHT64132.1
N0.HOG0010533	OG0008388	-	Solyc01g105510.3.1	PHT64130.1
N0.HOG0010534	OG0008389	-	Solyc01g105520.3.1	PHT64129.1
N0.HOG0010535	OG0008390	-	Solyc01g105600.3.1	PHT64124.1
N0.HOG0010536	OG0008391	-	Solyc01g105630.4.1	PHT64123.1
N0.HOG0010537	OG0008392	-	Solyc01g105650.4.1	PHT64122.1
N0.HOG0010538	OG0008393	-	Solyc01g105690.2.1	PHT64117.1
N0.HOG0010539	OG0008394	-	Solyc01g105700.3.1	PHT64116.1
N0.HOG0010540	OG0008395	-	Solyc01g105710.3.1	PHT64115.1
N0.HOG0010541	OG0008396	-	Solyc01g105720.2.1	PHT64114.1
N0.HOG0010542	OG0008397	-	Solyc01g105780.4.1	PHT64103.1
N0.HOG0010543	OG0008398	-	Solyc01g105790.3.1	PHT64102.1
N0.HOG0010544	OG0008399	-	Solyc01g105800.4.1	PHT64101.1
N0.HOG0010545	OG0008400	-	Solyc01g105820.3.1	PHT64099.1
N0.HOG0010546	OG0008401	-	Solyc01g105860.3.1	PHT64094.1
N0.HOG0010547	OG0008402	-	Solyc01g105940.3.1	PHT62693.1
N0.HOG0010548	OG0008403	-	Solyc01g105970.3.1	PHT65642.1
N0.HOG0010549	OG0008404	-	Solyc01g106000.4.1	PHT64281.1
N0.HOG0010550	OG0008405	-	Solyc01g106010.3.1	PHT64280.1
N0.HOG0010551	OG0008406	-	Solyc01g106020.3.1	PHT64279.1
N0.HOG0010552	OG0008407	-	Solyc01g106030.4.1	PHT64278.1
N0.HOG0010553	OG0008408	-	Solyc01g106040.3.1	PHT64277.1
N0.HOG0010554	OG0008409	-	Solyc01g106870.4.1, Solyc01g106055.1.1	
N0.HOG0010555	OG0008410	-	Solyc01g106060.3.1	PHT64275.1
N0.HOG0010556	OG0008411	-	Solyc01g106090.3.1	PHT64270.1
N0.HOG0010557	OG0008412	-	Solyc01g106160.3.1	PHT64229.1
N0.HOG0010558	OG0008413	-	Solyc01g106200.3.1	PHT88507.1
N0.HOG0010559	OG0008414	-	Solyc01g106280.3.1	PHT64239.1
N0.HOG0010560	OG0008415	-	Solyc01g106320.2.1	PHT64241.1
N0.HOG0010561	OG0008416	-	Solyc01g106370.3.1	PHT64247.1
N0.HOG0010562	OG0008417	-	Solyc01g106400.3.1	PHT64249.1
N0.HOG0010563	OG0008418	-	Solyc01g106440.3.1	PHT64254.1
N0.HOG0010564	OG0008419	-	Solyc01g106450.3.1	PHT64255.1
N0.HOG0010565	OG0008420	-	Solyc01g106530.1.1	PHT64267.1
N0.HOG0010566	OG0008421	-	Solyc01g106560.4.1	PHT76036.1
N0.HOG0010567	OG0008422	-	Solyc01g106580.3.1	PHT64221.1
N0.HOG0010568	OG0008423	-	Solyc01g106590.4.1	PHT64220.1
N0.HOG0010569	OG0008424	-	Solyc01g106650.3.1	PHT64207.1
N0.HOG0010570	OG0008425	-	Solyc01g106680.4.1	PHT64201.1
N0.HOG0010571	OG0008426	-	Solyc01g106690.3.1	PHT64200.1
N0.HOG0010572	OG0008427	-	Solyc01g106720.1.1	PHT64196.1
N0.HOG0010573	OG0008428	-	Solyc01g106780.3.1	PHT63962.1
N0.HOG0010574	OG0008429	-	Solyc01g106790.3.1	PHT63961.1
N0.HOG0010575	OG0008430	-	Solyc01g106820.3.1	PHT63956.1
N0.HOG0010576	OG0008431	-	Solyc01g106830.4.1	PHT63955.1
N0.HOG0010577	OG0008432	-	Solyc01g106880.3.1	PHT63954.1
N0.HOG0010578	OG0008433	-	Solyc01g106890.2.1	PHT63953.1
N0.HOG0010579	OG0008434	-	Solyc01g106910.4.1	PHT63951.1
N0.HOG0010580	OG0008435	-	Solyc01g106963.1.1, Solyc01g106957.1.1	
N0.HOG0010581	OG0008436	-	Solyc01g107010.3.1	PHT63945.1
N0.HOG0010582	OG0008437	-	Solyc01g107020.4.1	PHT63944.1
N0.HOG0010583	OG0008438	-	Solyc01g107030.3.1	PHT63943.1
N0.HOG0010584	OG0008439	-	Solyc01g107040.3.1	PHT63942.1
N0.HOG0010585	OG0008440	-	Solyc01g107100.3.1, Solyc01g107090.2.1	
N0.HOG0010586	OG0008441	-	Solyc01g107140.3.1	PHT63938.1
N0.HOG0010587	OG0008442	-	Solyc01g107150.3.1	PHT63937.1
N0.HOG0010588	OG0008443	-	Solyc01g107170.2.1	PHT63936.1
N0.HOG0010589	OG0008444	-	Solyc01g107200.4.1	PHT63933.1
N0.HOG0010590	OG0008445	-	Solyc01g107240.4.1	PHT63929.1
N0.HOG0010591	OG0008446	-	Solyc01g107250.3.1	PHT63928.1
N0.HOG0010592	OG0008447	-	Solyc01g107260.4.1	PHT63927.1
N0.HOG0010593	OG0008448	-	Solyc06g068660.3.1, Solyc01g107280.3.1	
N0.HOG0010594	OG0008449	-	Solyc01g107320.3.1	PHT63923.1
N0.HOG0010595	OG0008450	-	Solyc01g107330.4.1	PHT63917.1
N0.HOG0010596	OG0008451	-	Solyc01g107370.3.1	PHT63910.1
N0.HOG0010597	OG0008452	-	Solyc01g107380.3.1	PHT63909.1
N0.HOG0010598	OG0008453	-	Solyc01g107410.3.1	PHT63907.1
N0.HOG0010599	OG0008454	-	Solyc01g107430.2.1	PHT63905.1
N0.HOG0010600	OG0008455	-	Solyc01g107450.4.1	PHT63904.1
N0.HOG0010601	OG0008456	-	Solyc01g107460.2.1	PHT63902.1
N0.HOG0010602	OG0008457	-	Solyc01g107490.2.1	PHT63899.1
N0.HOG0010603	OG0008458	-	Solyc01g107520.3.1, Solyc01g107540.4.1	
N0.HOG0010604	OG0008459	-	Solyc01g107550.3.1	PHT63889.1
N0.HOG0010605	OG0008460	-	Solyc01g107580.4.1	PHT62613.1
N0.HOG0010606	OG0008461	-	Solyc01g107590.3.1	PHT62614.1
N0.HOG0010607	OG0008462	-	Solyc01g107610.4.1	PHT62616.1
N0.HOG0010608	OG0008463	-	Solyc01g107620.4.1	PHT62617.1
N0.HOG0010609	OG0008464	-	Solyc01g107640.3.1	PHT57629.1
N0.HOG0010610	OG0008465	-	Solyc01g107660.3.1	PHT62621.1
N0.HOG0010611	OG0008466	-	Solyc01g107670.2.1	PHT62622.1
N0.HOG0010612	OG0008467	-	Solyc01g107700.4.1	PHT62623.1
N0.HOG0010613	OG0008468	-	Solyc01g107730.3.1	PHT62626.1
N0.HOG0010614	OG0008469	-	Solyc01g107750.3.1	PHT62628.1
N0.HOG0010615	OG0008470	-	Solyc01g107760.4.1	PHT62629.1
N0.HOG0010616	OG0008471	-	Solyc01g107790.2.1	PHT62630.1
N0.HOG0010617	OG0008472	-	Solyc01g107800.4.1	PHT62631.1
N0.HOG0010618	OG0008473	-	Solyc01g107860.3.1	PHT62637.1
N0.HOG0010619	OG0008474	-	Solyc01g107900.3.1	PHT62644.1
N0.HOG0010620	OG0008475	-	Solyc01g107990.3.1	PHT63135.1
N0.HOG0010621	OG0008476	-	Solyc01g108020.3.1	PHT63131.1
N0.HOG0010622	OG0008477	-	Solyc01g108030.4.1	PHT63130.1
N0.HOG0010623	OG0008478	-	Solyc01g108070.4.1	PHT63128.1
N0.HOG0010624	OG0008479	-	Solyc01g108090.2.1	PHT63125.1
N0.HOG0010625	OG0008480	-	Solyc01g108120.3.1	PHT63122.1
N0.HOG0010626	OG0008481	-	Solyc01g108130.4.1	PHT63119.1
N0.HOG0010627	OG0008482	-	Solyc01g108140.4.1	PHT63118.1
N0.HOG0010628	OG0008483	-	Solyc01g108150.3.1	PHT63117.1
N0.HOG0010629	OG0008484	-	Solyc01g108160.3.1	PHT63116.1
N0.HOG0010630	OG0008485	-	Solyc01g108180.4.1	PHT63114.1
N0.HOG0010631	OG0008486	-	Solyc01g108190.3.1	PHT63113.1
N0.HOG0010632	OG0008487	-	Solyc01g108200.3.1	PHT63112.1
N0.HOG0010633	OG0008488	-	Solyc01g108210.4.1	PHT63104.1
N0.HOG0010634	OG0008489	-	Solyc01g108240.3.1	PHT63106.1
N0.HOG0010635	OG0008490	-	Solyc01g108260.4.1	PHT63108.1
N0.HOG0010636	OG0008491	-	Solyc01g108270.4.1	PHT63109.1
N0.HOG0010637	OG0008492	-	Solyc01g108300.3.1	PHT64370.1
N0.HOG0010638	OG0008493	-	Solyc01g108310.4.1	PHT64369.1
N0.HOG0010639	OG0008494	-	Solyc04g015540.1.1, Solyc01g108330.2.1	
N0.HOG0010640	OG0008495	-	Solyc01g108340.3.1	PHT64366.1
N0.HOG0010641	OG0008496	-	Solyc01g108390.3.1	PHT64359.1
N0.HOG0010642	OG0008497	-	Solyc01g108400.3.1	PHT64358.1
N0.HOG0010643	OG0008498	-	Solyc01g108430.3.1	PHT64351.1
N0.HOG0010644	OG0008499	-	Solyc01g108440.2.1	PHT64350.1
N0.HOG0010645	OG0008500	-	Solyc01g108600.3.1	PHT63100.1
N0.HOG0010646	OG0008501	-	Solyc01g108610.3.1	PHT63101.1
N0.HOG0010647	OG0008502	-	Solyc01g108650.3.1	PHT64375.1
N0.HOG0010648	OG0008503	-	Solyc01g108660.4.1	PHT64376.1
N0.HOG0010649	OG0008504	-	Solyc01g108670.4.1	PHT64377.1
N0.HOG0010650	OG0008505	-	Solyc10g050510.1.1, Solyc01g108710.3.1	
N0.HOG0010651	OG0008506	-	Solyc01g108890.3.1	PHT64407.1
N0.HOG0010652	OG0008507	-	Solyc01g108930.3.1	PHT64415.1
N0.HOG0010653	OG0008508	-	Solyc01g109050.2.1	PHT64420.1
N0.HOG0010654	OG0008509	-	Solyc01g109060.4.1	PHT64421.1
N0.HOG0010655	OG0008510	-	Solyc01g109080.3.1	PHT64423.1
N0.HOG0010656	OG0008511	-	Solyc01g109100.2.1, Solyc01g109090.2.1	
N0.HOG0010657	OG0008512	-	Solyc01g109110.3.1	PHT64424.1
N0.HOG0010658	OG0008513	-	Solyc01g109130.3.1	PHT64425.1
N0.HOG0010659	OG0008514	-	Solyc01g109140.3.1	PHT64426.1
N0.HOG0010660	OG0008515	-	Solyc01g109170.3.1	PHT64429.1
N0.HOG0010661	OG0008516	-	Solyc01g109220.4.1	PHT64434.1
N0.HOG0010662	OG0008517	-	Solyc01g109240.3.1	PHT63913.1
N0.HOG0010663	OG0008518	-	Solyc01g109260.3.1	PHT64436.1
N0.HOG0010664	OG0008519	-	Solyc01g109280.3.1	PHT64438.1
N0.HOG0010665	OG0008520	-	Solyc01g109290.3.1	PHT64439.1
N0.HOG0010666	OG0008521	-	Solyc01g109330.3.1	PHT64441.1
N0.HOG0010667	OG0008522	-	Solyc01g109340.4.1, Solyc10g051270.2.1	
N0.HOG0010668	OG0008523	-	Solyc01g109350.3.1	PHT64442.1
N0.HOG0010669	OG0008524	-	Solyc01g109360.3.1	PHT64443.1
N0.HOG0010670	OG0008525	-	Solyc01g109370.3.1	PHT64444.1
N0.HOG0010671	OG0008526	-	Solyc01g109390.3.1	PHT64446.1
N0.HOG0010672	OG0008527	-	Solyc01g109430.3.1	PHT64450.1
N0.HOG0010673	OG0008528	-	Solyc01g109470.3.1	PHT64454.1
N0.HOG0010674	OG0008529	-	Solyc01g109510.3.1	PHT64462.1
N0.HOG0010675	OG0008530	-	Solyc01g109520.3.1	PHT64463.1
N0.HOG0010676	OG0008531	-	Solyc01g109550.2.1	PHT64465.1
N0.HOG0010677	OG0008532	-	Solyc01g109570.4.1	PHT62104.1
N0.HOG0010678	OG0008533	-	Solyc01g109590.3.1	PHT62106.1
N0.HOG0010679	OG0008534	-	Solyc01g109600.4.1	PHT62107.1
N0.HOG0010680	OG0008535	-	Solyc01g109610.4.1	PHT62108.1
N0.HOG0010681	OG0008536	-	Solyc01g109630.4.1	PHT62111.1
N0.HOG0010682	OG0008537	-	Solyc01g109640.3.1	PHT62112.1
N0.HOG0010683	OG0008538	-	Solyc01g109680.3.1	PHT62116.1
N0.HOG0010684	OG0008539	-	Solyc01g109690.1.1	PHT62118.1
N0.HOG0010685	OG0008540	-	Solyc01g109710.3.1	PHT62120.1
N0.HOG0010686	OG0008541	-	Solyc01g109720.3.1	PHT62121.1
N0.HOG0010687	OG0008542	-	Solyc01g109740.3.1	PHT92715.1
N0.HOG0010688	OG0008543	-	Solyc01g109750.2.1	PHT92716.1
N0.HOG0010689	OG0008544	-	Solyc10g052650.3.1, Solyc01g109780.3.1	
N0.HOG0010690	OG0008545	-	Solyc01g109790.3.1	PHT92720.1
N0.HOG0010691	OG0008546	-	Solyc01g109830.3.1	PHT92723.1
N0.HOG0010692	OG0008547	-	Solyc01g109850.3.1	PHT92724.1
N0.HOG0010693	OG0008548	-	Solyc01g109890.3.1	PHT61935.1
N0.HOG0010694	OG0008549	-	Solyc01g109895.1.1	PHT61936.1
N0.HOG0010695	OG0008550	-	Solyc01g109930.4.1	PHT61938.1
N0.HOG0010696	OG0008551	-	Solyc01g109960.3.1	PHT61941.1
N0.HOG0010697	OG0008552	-	Solyc01g109970.3.1	PHT61942.1
N0.HOG0010698	OG0008553	-	Solyc01g109980.4.1	PHT61943.1
N0.HOG0010699	OG0008554	-	Solyc01g110000.3.1	PHT61944.1
N0.HOG0010700	OG0008555	-	Solyc01g110010.3.1	PHT61945.1
N0.HOG0010701	OG0008556	-	Solyc01g110020.4.1	PHT61946.1
N0.HOG0010702	OG0008557	-	Solyc01g110110.3.1	PHT93508.1
N0.HOG0010703	OG0008558	-	Solyc01g110130.3.1	PHT93510.1
N0.HOG0010704	OG0008559	-	Solyc01g110150.2.1	PHT93513.1
N0.HOG0010705	OG0008560	-	Solyc01g110180.4.1	PHT93514.1
N0.HOG0010706	OG0008561	-	Solyc01g110270.3.1	PHT93517.1
N0.HOG0010707	OG0008562	-	Solyc01g110350.2.1	PHT93526.1
N0.HOG0010708	OG0008563	-	Solyc01g110370.4.1	PHT93528.1
N0.HOG0010709	OG0008564	-	Solyc01g110390.2.1	PHT93530.1
N0.HOG0010710	OG0008565	-	Solyc01g110400.2.1	PHT93531.1
N0.HOG0010711	OG0008566	-	Solyc01g110450.3.1	PHT95423.1
N0.HOG0010712	OG0008567	-	Solyc01g110460.4.1	PHT93538.1
N0.HOG0010713	OG0008568	-	Solyc01g110470.3.1	PHT93539.1
N0.HOG0010714	OG0008569	-	Solyc01g110480.4.1	PHT62372.1
N0.HOG0010715	OG0008570	-	Solyc01g110490.4.1	PHT62373.1
N0.HOG0010716	OG0008571	-	Solyc01g110530.3.1	PHT62376.1
N0.HOG0010717	OG0008572	-	Solyc01g110540.3.1	PHT62377.1
N0.HOG0010718	OG0008573	-	Solyc01g110550.3.1	PHT62378.1
N0.HOG0010719	OG0008574	-	Solyc01g110555.1.1	PHT62379.1
N0.HOG0010720	OG0008575	-	Solyc01g110570.3.1	PHT62380.1
N0.HOG0010721	OG0008576	-	Solyc01g110580.2.1	PHT62381.1
N0.HOG0010722	OG0008577	-	Solyc01g110610.4.1	PHT62384.1
N0.HOG0010723	OG0008578	-	Solyc01g110660.4.1	PHT62388.1
N0.HOG0010724	OG0008579	-	Solyc01g110710.3.1	PHT63972.1
N0.HOG0010725	OG0008580	-	Solyc01g110780.1.1	PHT62399.1
N0.HOG0010726	OG0008581	-	Solyc01g110890.1.1	PHT62403.1
N0.HOG0010727	OG0008582	-	Solyc01g110900.1.1	PHT62402.1
N0.HOG0010728	OG0008583	-	Solyc01g110903.1.1	PHT62401.1
N0.HOG0010729	OG0008584	-	Solyc01g110930.1.1	PHT62398.1
N0.HOG0010730	OG0008585	-	Solyc01g111020.3.1	PHT63984.1
N0.HOG0010731	OG0008586	-	Solyc01g111040.4.1	PHT63986.1
N0.HOG0010732	OG0008587	-	Solyc01g111050.4.1	PHT63987.1
N0.HOG0010733	OG0008588	-	Solyc01g111060.4.1	PHT63988.1
N0.HOG0010734	OG0008589	-	Solyc01g111070.3.1	PHT63989.1
N0.HOG0010735	OG0008590	-	Solyc01g150176.1.1	PHT63990.1
N0.HOG0010736	OG0008591	-	Solyc01g111130.4.1	PHT63995.1
N0.HOG0010737	OG0008592	-	Solyc01g111140.3.1	PHT63996.1
N0.HOG0010738	OG0008593	-	Solyc01g111150.2.1	PHT63997.1
N0.HOG0010739	OG0008594	-	Solyc01g111170.3.1	PHT63999.1
N0.HOG0010740	OG0008595	-	Solyc01g111190.4.1, Solyc10g044640.3.1	
N0.HOG0010741	OG0008596	-	Solyc01g111200.3.1	PHT64001.1
N0.HOG0010742	OG0008597	-	Solyc01g111210.3.1	PHT64002.1
N0.HOG0010743	OG0008598	-	Solyc01g111220.3.1	PHT64003.1
N0.HOG0010744	OG0008599	-	Solyc01g111270.3.1	PHT64014.1
N0.HOG0010745	OG0008600	-	Solyc01g111320.3.1	PHT64017.1
N0.HOG0010746	OG0008601	-	Solyc01g111330.4.1	PHT64020.1
N0.HOG0010747	OG0008602	-	Solyc01g111360.3.1	PHT64023.1
N0.HOG0010748	OG0008603	-	Solyc01g111370.3.1	PHT64024.1
N0.HOG0010749	OG0008604	-	Solyc01g111380.3.1	PHT64025.1
N0.HOG0010750	OG0008605	-	Solyc01g111400.4.1	PHT64028.1
N0.HOG0010751	OG0008606	-	Solyc01g111410.3.1	PHT64030.1
N0.HOG0010752	OG0008607	-	Solyc01g111420.3.1	PHT64031.1
N0.HOG0010753	OG0008608	-	Solyc01g111430.2.1	PHT64032.1
N0.HOG0010754	OG0008609	-	Solyc01g111470.4.1	PHT64035.1
N0.HOG0010755	OG0008610	-	Solyc01g111500.3.1	PHT64037.1
N0.HOG0010756	OG0008611	-	Solyc01g111510.3.1	PHT64038.1
N0.HOG0010757	OG0008612	-	Solyc01g111520.3.1	PHT64039.1
N0.HOG0010758	OG0008613	-	Solyc01g111550.3.1	PHT64044.1
N0.HOG0010759	OG0008614	-	Solyc01g111560.3.1	PHT64045.1
N0.HOG0010760	OG0008615	-	Solyc01g111570.3.1	PHT64046.1
N0.HOG0010761	OG0008616	-	Solyc01g111600.3.1	PHT64052.1
